instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
BTC-27MAR26-75000-P,75000.0,1774598400000,put,0.0475,0.0495,0.0,,0.0,2026-03-16T10:45:20.406128+00:00
BTC-27MAR26-76000-C,76000.0,1774598400000,put,0.0195,0.0205,0.0,,0.0,2026-03-16T10:45:20.453028+00:00
BTC-27MAR26-76000-P,76000.0,1774598400000,put,0.056,0.058,0.0,,0.0,2026-03-16T10:45:20.496369+00:00
BTC-27MAR26-77000-C,77000.0,1774598400000,put,0.015,0.016,0.0,,0.0,2026-03-16T10:45:20.539687+00:00
BTC-27MAR26-78000-C,78000.0,1774598400000,put,0.0115,0.0125,0.0,,0.0,2026-03-16T10:45:20.604245+00:00
BTC-27MAR26-78000-P,78000.0,1774598400000,put,0.074,0.0785,0.0,,0.0,2026-03-16T10:45:20.648819+00:00
BTC-27MAR26-80000-C,80000.0,1774598400000,put,0.0065,0.0075,0.0,,0.0,2026-03-16T10:45:20.690285+00:00
BTC-27MAR26-82000-C,82000.0,1774598400000,put,0.0039,0.0042,0.0,,0.0,2026-03-16T10:45:20.753513+00:00
BTC-27MAR26-82000-P,82000.0,1774598400000,put,0.1195,0.1255,0.0,,0.0,2026-03-16T10:45:20.796460+00:00
BTC-27MAR26-84000-C,84000.0,1774598400000,put,0.0022,0.0024,0.0,,0.0,2026-03-16T10:45:20.839773+00:00
BTC-27MAR26-85000-C,85000.0,1774598400000,put,0.0017,0.0018,0.0,,0.0,2026-03-16T10:45:20.905584+00:00
BTC-27MAR26-85000-P,85000.0,1774598400000,put,0.1585,0.164,0.0,,0.0,2026-03-16T10:45:20.951076+00:00
BTC-27MAR26-86000-C,86000.0,1774598400000,put,0.0014,0.0016,0.0,,0.0,2026-03-16T10:45:20.995336+00:00
BTC-27MAR26-86000-P,86000.0,1774598400000,put,0.172,0.1775,0.0,,0.0,2026-03-16T10:45:21.038211+00:00
BTC-27MAR26-88000-P,88000.0,1774598400000,put,0.1985,0.2045,0.0,,0.0,2026-03-16T10:45:21.103869+00:00
BTC-27MAR26-94000-P,94000.0,1774598400000,put,0.2795,0.2865,0.0,,0.0,2026-03-16T10:45:21.253887+00:00
BTC-27MAR26-102000-P,102000.0,1774598400000,put,0.3835,0.4,0.0,,0.0,2026-03-16T10:45:21.508679+00:00
BTC-27MAR26-110000-P,110000.0,1774598400000,put,0.4965,0.505,0.0,,0.0,2026-03-16T10:45:21.750175+00:00
BTC-27MAR26-115000-P,115000.0,1774598400000,put,0.565,0.573,0.0,,0.0,2026-03-16T10:45:21.904458+00:00
BTC-27MAR26-140000-P,140000.0,1774598400000,put,0.84,0.9835,0.0,,0.0,2026-03-16T10:45:22.155949+00:00
BTC-27MAR26-160000-P,160000.0,1774598400000,put,1.1765,1.189,0.0,,0.0,2026-03-16T10:45:22.354806+00:00
BTC-27MAR26-190000-P,190000.0,1774598400000,put,1.4975,1.6915,0.0,,0.0,2026-03-16T10:45:22.512033+00:00
BTC-27MAR26-260000-P,260000.0,1774598400000,put,2.4165,2.6825,0.0,,0.0,2026-03-16T10:45:22.805894+00:00
BTC-3APR26-60000-P,60000.0,1775203200000,put,0.005,0.0055,0.0,,0.0,2026-03-16T10:45:23.057928+00:00
BTC-3APR26-65000-C,65000.0,1775203200000,put,0.123,0.1275,0.0,,0.0,2026-03-16T10:45:23.150920+00:00
BTC-3APR26-65000-P,65000.0,1775203200000,put,0.0115,0.012,0.0,,0.0,2026-03-16T10:45:23.195488+00:00
BTC-3APR26-66000-C,66000.0,1775203200000,put,0.1115,0.1155,0.0,,0.0,2026-03-16T10:45:23.239603+00:00
BTC-3APR26-69000-C,69000.0,1775203200000,put,0.0805,0.083,0.0,,0.0,2026-03-16T10:45:23.399838+00:00
BTC-3APR26-69000-P,69000.0,1775203200000,put,0.0225,0.0235,0.0,,0.0,2026-03-16T10:45:23.446686+00:00
BTC-3APR26-70000-C,70000.0,1775203200000,put,0.071,0.0735,0.0,,0.0,2026-03-16T10:45:23.490722+00:00
BTC-3APR26-70000-P,70000.0,1775203200000,put,0.0265,0.0275,0.0,,0.0,2026-03-16T10:45:23.537725+00:00
BTC-3APR26-71000-P,71000.0,1775203200000,put,0.0315,0.0325,0.0,,0.0,2026-03-16T10:45:23.605476+00:00
BTC-3APR26-72000-C,72000.0,1775203200000,put,0.0545,0.0555,0.0,,0.0,2026-03-16T10:45:23.647771+00:00
BTC-3APR26-72000-P,72000.0,1775203200000,put,0.0365,0.0375,0.0,,0.0,2026-03-16T10:45:23.690574+00:00
BTC-3APR26-73000-P,73000.0,1775203200000,put,0.0425,0.0435,0.0,,0.0,2026-03-16T10:45:23.754347+00:00
BTC-3APR26-74000-C,74000.0,1775203200000,put,0.04,0.041,0.0,,0.0,2026-03-16T10:45:23.795970+00:00
BTC-3APR26-74000-P,74000.0,1775203200000,put,0.0495,0.0505,0.0,,0.0,2026-03-16T10:45:23.837728+00:00
BTC-3APR26-75000-P,75000.0,1775203200000,put,0.0565,0.058,0.0,,0.0,2026-03-16T10:45:23.909666+00:00
BTC-3APR26-76000-C,76000.0,1775203200000,put,0.028,0.029,0.0,,0.0,2026-03-16T10:45:23.951942+00:00
BTC-3APR26-76000-P,76000.0,1775203200000,put,0.0635,0.067,0.0,,0.0,2026-03-16T10:45:23.997612+00:00
BTC-3APR26-77000-C,77000.0,1775203200000,put,0.023,0.024,0.0,,0.0,2026-03-16T10:45:24.040612+00:00
BTC-3APR26-78000-C,78000.0,1775203200000,put,0.019,0.02,0.0,,0.0,2026-03-16T10:45:24.104007+00:00
BTC-3APR26-78000-P,78000.0,1775203200000,put,0.082,0.0855,0.0,,0.0,2026-03-16T10:45:24.149619+00:00
BTC-3APR26-80000-C,80000.0,1775203200000,put,0.0125,0.0135,0.0,,0.0,2026-03-16T10:45:24.196706+00:00
BTC-24APR26-45000-C,45000.0,1777017600000,put,0.387,0.391,0.0,,0.0,2026-03-16T10:45:24.359409+00:00
BTC-24APR26-45000-P,45000.0,1777017600000,put,0.002,0.0022,0.0,,0.0,2026-03-16T10:45:24.402196+00:00
BTC-24APR26-54000-P,54000.0,1777017600000,put,0.006,0.0065,0.0,,0.0,2026-03-16T10:45:24.555464+00:00
BTC-24APR26-55000-C,55000.0,1777017600000,put,0.255,0.281,0.0,,0.0,2026-03-16T10:45:24.599541+00:00
BTC-24APR26-55000-P,55000.0,1777017600000,put,0.007,0.0075,0.0,,0.0,2026-03-16T10:45:24.645726+00:00
BTC-24APR26-56000-C,56000.0,1777017600000,put,0.223,0.247,0.0,,0.0,2026-03-16T10:45:24.692089+00:00
BTC-24APR26-56000-P,56000.0,1777017600000,put,0.008,0.0085,0.0,,0.0,2026-03-16T10:45:24.734899+00:00
BTC-24APR26-57000-P,57000.0,1777017600000,put,0.009,0.0095,0.0,,0.0,2026-03-16T10:45:24.801593+00:00
BTC-24APR26-58000-C,58000.0,1777017600000,put,0.1875,0.222,0.0,,0.0,2026-03-16T10:45:24.845160+00:00
BTC-24APR26-58000-P,58000.0,1777017600000,put,0.01,0.0105,0.0,,0.0,2026-03-16T10:45:24.893409+00:00
BTC-24APR26-59000-C,59000.0,1777017600000,put,0.2045,0.2095,0.0,,0.0,2026-03-16T10:45:24.941516+00:00
BTC-24APR26-59000-P,59000.0,1777017600000,put,0.0115,0.012,0.0,,0.0,2026-03-16T10:45:24.986735+00:00
BTC-24APR26-60000-P,60000.0,1777017600000,put,0.013,0.0135,0.0,,0.0,2026-03-16T10:45:25.054798+00:00
BTC-24APR26-62000-C,62000.0,1777017600000,put,0.17,0.174,0.0,,0.0,2026-03-16T10:45:25.148246+00:00
BTC-24APR26-62000-P,62000.0,1777017600000,put,0.017,0.0175,0.0,,0.0,2026-03-16T10:45:25.191837+00:00
BTC-24APR26-63000-C,63000.0,1777017600000,put,0.159,0.1625,0.0,,0.0,2026-03-16T10:45:25.236794+00:00
BTC-24APR26-64000-C,64000.0,1777017600000,put,0.1475,0.1515,0.0,,0.0,2026-03-16T10:45:25.302817+00:00
BTC-24APR26-64000-P,64000.0,1777017600000,put,0.0215,0.0225,0.0,,0.0,2026-03-16T10:45:25.347251+00:00
BTC-24APR26-65000-C,65000.0,1777017600000,put,0.137,0.1405,0.0,,0.0,2026-03-16T10:45:25.393789+00:00
BTC-24APR26-65000-P,65000.0,1777017600000,put,0.0245,0.0255,0.0,,0.0,2026-03-16T10:45:25.439404+00:00
BTC-24APR26-66000-P,66000.0,1777017600000,put,0.028,0.0285,0.0,,0.0,2026-03-16T10:45:25.508183+00:00
