instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
BTC-27MAR26-85000-P,85000.0,1774598400000,put,0.154,0.1585,0.0,,0.0,2026-03-16T11:35:38.831731+00:00
BTC-27MAR26-86000-P,86000.0,1774598400000,put,0.167,0.1725,0.0,,0.0,2026-03-16T11:35:38.891846+00:00
BTC-27MAR26-88000-C,88000.0,1774598400000,put,0.001,0.0012,0.0,,0.0,2026-03-16T11:35:38.931388+00:00
BTC-27MAR26-90000-C,90000.0,1774598400000,put,0.0007,0.0008,0.0,,0.0,2026-03-16T11:35:38.991251+00:00
BTC-27MAR26-90000-P,90000.0,1774598400000,put,0.22,0.2265,0.0,,0.0,2026-03-16T11:35:39.030395+00:00
BTC-27MAR26-92000-P,92000.0,1774598400000,put,0.247,0.2535,0.0,,0.0,2026-03-16T11:35:39.093950+00:00
BTC-27MAR26-95000-P,95000.0,1774598400000,put,0.2875,0.294,0.0,,0.0,2026-03-16T11:35:39.195476+00:00
BTC-27MAR26-98000-P,98000.0,1774598400000,put,0.3275,0.334,0.0,,0.0,2026-03-16T11:35:39.296832+00:00
BTC-27MAR26-102000-P,102000.0,1774598400000,put,0.3785,0.393,0.0,,0.0,2026-03-16T11:35:39.395170+00:00
BTC-27MAR26-105000-P,105000.0,1774598400000,put,0.4215,0.4295,0.0,,0.0,2026-03-16T11:35:39.497824+00:00
BTC-27MAR26-110000-P,110000.0,1774598400000,put,0.4905,0.4985,0.0,,0.0,2026-03-16T11:35:39.637088+00:00
BTC-27MAR26-112000-P,112000.0,1774598400000,put,0.5175,0.5255,0.0,,0.0,2026-03-16T11:35:39.711703+00:00
BTC-27MAR26-125000-P,125000.0,1774598400000,put,0.6925,0.7025,0.0,,0.0,2026-03-16T11:35:39.903684+00:00
BTC-27MAR26-130000-P,130000.0,1774598400000,put,0.7615,0.771,0.0,,0.0,2026-03-16T11:35:39.990601+00:00
BTC-27MAR26-150000-P,150000.0,1774598400000,put,0.972,1.115,0.0,,0.0,2026-03-16T11:35:40.233590+00:00
BTC-27MAR26-155000-P,155000.0,1774598400000,put,1.0375,1.1855,0.0,,0.0,2026-03-16T11:35:40.307111+00:00
BTC-27MAR26-200000-P,200000.0,1774598400000,put,1.631,1.8195,0.0,,0.0,2026-03-16T11:35:40.535428+00:00
BTC-27MAR26-210000-P,210000.0,1774598400000,put,1.76,1.9605,0.0,,0.0,2026-03-16T11:35:40.598985+00:00
BTC-27MAR26-240000-P,240000.0,1774598400000,put,2.157,2.383,0.0,,0.0,2026-03-16T11:35:40.751950+00:00
BTC-27MAR26-300000-P,300000.0,1774598400000,put,3.0635,3.087,0.0,,0.0,2026-03-16T11:35:40.903002+00:00
BTC-3APR26-60000-P,60000.0,1775203200000,put,0.0046,0.005,0.0,,0.0,2026-03-16T11:35:41.050971+00:00
BTC-3APR26-64000-C,64000.0,1775203200000,put,0.1375,0.1535,0.0,,0.0,2026-03-16T11:35:41.099366+00:00
BTC-3APR26-64000-P,64000.0,1775203200000,put,0.009,0.0095,0.0,,0.0,2026-03-16T11:35:41.144050+00:00
BTC-3APR26-66000-P,66000.0,1775203200000,put,0.0125,0.0135,0.0,,0.0,2026-03-16T11:35:41.249930+00:00
BTC-3APR26-69000-P,69000.0,1775203200000,put,0.0215,0.022,0.0,,0.0,2026-03-16T11:35:41.397856+00:00
BTC-3APR26-70000-C,70000.0,1775203200000,put,0.074,0.0765,0.0,,0.0,2026-03-16T11:35:41.441934+00:00
BTC-3APR26-70000-P,70000.0,1775203200000,put,0.025,0.026,0.0,,0.0,2026-03-16T11:35:41.484716+00:00
BTC-3APR26-71000-P,71000.0,1775203200000,put,0.0295,0.0305,0.0,,0.0,2026-03-16T11:35:41.546512+00:00
BTC-3APR26-72000-C,72000.0,1775203200000,put,0.057,0.058,0.0,,0.0,2026-03-16T11:35:41.588077+00:00
BTC-3APR26-72000-P,72000.0,1775203200000,put,0.0345,0.0355,0.0,,0.0,2026-03-16T11:35:41.630507+00:00
BTC-3APR26-73000-P,73000.0,1775203200000,put,0.0405,0.0415,0.0,,0.0,2026-03-16T11:35:41.694972+00:00
BTC-3APR26-74000-C,74000.0,1775203200000,put,0.042,0.043,0.0,,0.0,2026-03-16T11:35:41.736480+00:00
BTC-3APR26-75000-C,75000.0,1775203200000,put,0.036,0.0365,0.0,,0.0,2026-03-16T11:35:41.802891+00:00
BTC-3APR26-75000-P,75000.0,1775203200000,put,0.054,0.055,0.0,,0.0,2026-03-16T11:35:41.844806+00:00
BTC-3APR26-76000-C,76000.0,1775203200000,put,0.03,0.031,0.0,,0.0,2026-03-16T11:35:41.885369+00:00
BTC-3APR26-77000-C,77000.0,1775203200000,put,0.025,0.026,0.0,,0.0,2026-03-16T11:35:41.949763+00:00
BTC-3APR26-77000-P,77000.0,1775203200000,put,0.07,0.073,0.0,,0.0,2026-03-16T11:35:41.991724+00:00
BTC-3APR26-78000-C,78000.0,1775203200000,put,0.0205,0.0215,0.0,,0.0,2026-03-16T11:35:42.033911+00:00
BTC-3APR26-80000-C,80000.0,1775203200000,put,0.0135,0.0145,0.0,,0.0,2026-03-16T11:35:42.098950+00:00
BTC-24APR26-40000-C,40000.0,1777017600000,put,0.457,0.46,0.0,,0.0,2026-03-16T11:35:42.200608+00:00
BTC-24APR26-45000-P,45000.0,1777017600000,put,0.0019,0.0022,0.0,,0.0,2026-03-16T11:35:42.285976+00:00
BTC-24APR26-50000-P,50000.0,1777017600000,put,0.0036,0.0039,0.0,,0.0,2026-03-16T11:35:42.351142+00:00
BTC-24APR26-54000-C,54000.0,1777017600000,put,0.2715,0.305,0.0,,0.0,2026-03-16T11:35:42.434321+00:00
BTC-24APR26-55000-C,55000.0,1777017600000,put,0.253,0.2625,0.0,,0.0,2026-03-16T11:35:42.500306+00:00
BTC-24APR26-55000-P,55000.0,1777017600000,put,0.0065,0.007,0.0,,0.0,2026-03-16T11:35:42.543063+00:00
BTC-24APR26-56000-C,56000.0,1777017600000,put,0.227,0.25,0.0,,0.0,2026-03-16T11:35:42.584018+00:00
BTC-24APR26-57000-C,57000.0,1777017600000,put,0.2115,0.2375,0.0,,0.0,2026-03-16T11:35:42.655225+00:00
